ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_NUMBER	ADMINISTRATIVE_BOUNDARY_TYPE	DISTRICT_OFFICIAL_NAME	AREA	PERIMETER	POPULATION
1119691	KEMUMIN	MAY	NULL	NULL	16	28	KOTA BHARU	22.668000	20.222691	32484
1119692	KESANG	MAY	NULL	NULL	84	28	MUAR	37.762900	39.548060	5305
1119693	AYER KUNING	MAY	NULL	NULL	73	28	TAMPIN	176.926600	62.303210	5270
1119694	SUNGEI RAMBAI	MAY	NULL	NULL	77	28	JASIN	32.108100	31.145499	6963
1119695	CHOHONG	MAY	NULL	NULL	77	28	JASIN	7.761200	16.366776	759
1119696	CHABAU	MAY	NULL	NULL	77	28	JASIN	39.677200	46.591776	4944
1119697	NYALAS	MAY	NULL	NULL	77	28	JASIN	80.587200	41.705826	6642
1119698	KUNDANG	MAY	NULL	NULL	84	28	MUAR	57.540000	45.725108	3659
1119699	BUKIT SEGUMPAL	MAY	NULL	NULL	28	28	MARAN	113.647700	44.098861	11812
1119700	BUKIT KENAK	MAY	NULL	NULL	22	28	BESUT	19.289000	20.580026	8649
1119701	LUBOK KAWAH	MAY	NULL	NULL	22	28	BESUT	40.136200	37.641155	8942
1119702	PASIR AKAR	MAY	NULL	NULL	22	28	BESUT	76.714700	44.047306	5942
1119703	BUKIT PUTERI	MAY	NULL	NULL	22	28	BESUT	29.993400	25.853651	6246
1119704	PENGKALAN NANGKA	MAY	NULL	NULL	22	28	BESUT	13.998600	18.658770	4181
1119705	TENANG	MAY	NULL	NULL	22	28	BESUT	175.853100	86.544306	3565
1119706	SEMERAK	MAY	NULL	NULL	16	28	PASIR PUTEH	123.312900	56.803448	21670
1119707	MERLIMAU	MAY	NULL	NULL	77	28	JASIN	55.804200	40.784632	10849
1119708	SEBATU	MAY	NULL	NULL	77	28	JASIN	23.326500	30.957402	4709
1119709	SEMUJOK	MAY	NULL	NULL	77	28	JASIN	25.452900	24.790090	1485
1119710	JASIN	MAY	NULL	NULL	77	28	JASIN	55.222400	45.008539	13580
1119711	CHIN CHIN	MAY	NULL	NULL	77	28	JASIN	33.499200	29.589794	2720
1119712	RIM	MAY	NULL	NULL	77	28	JASIN	41.910900	47.735502	4336
1119713	TEDONG	MAY	NULL	NULL	77	28	JASIN	2.767700	8.050604	2487
1119714	SEMPANG	MAY	NULL	NULL	77	28	JASIN	4.475900	11.590425	4099
1119715	JUS	MAY	NULL	NULL	77	28	JASIN	9.870700	14.362215	536
1119716	BANGAU	MAY	NULL	NULL	28	28	TEMERLUH	28.674400	26.252696	4565
1119717	SANGSANG	MAY	NULL	NULL	28	28	TEMERLUH	96.380100	44.244025	4123
1119718	LEBAK	MAY	NULL	NULL	28	28	TEMERLUH	40.347200	27.658945	1535
1119719	KELOLA	MAY	NULL	NULL	27	28	JERANTUT	26.353900	29.242293	264
1119720	BUKIT AWANG	MAY	NULL	NULL	16	28	PASIR PUTEH	32.321600	31.654694	7984
1119721	BANDAR	MAY	NULL	NULL	84	28	MUAR	29.968000	28.679222	79086
1119722	SUNGAI TERAP	MAY	NULL	NULL	84	28	MUAR	12.119400	19.608097	9166
1119723	KELUANG	MAY	NULL	NULL	22	28	BESUT	17.017300	2.401075	5752
1119724	KAMPONG RAJA	MAY	NULL	NULL	22	28	BESUT	24.150300	26.251108	12355
1119725	KUBANG BEMBAN	MAY	NULL	NULL	22	28	BESUT	12.782900	17.079011	4104
1119726	KUALA BESUT	MAY	NULL	NULL	22	28	BESUT	11.575300	19.165308	16269
1119728	BAGAN	MAY	NULL	NULL	83	28	BATU PAHAT	43.863700	30.325404	7648
1119729	SERMIN	MAY	NULL	NULL	85	28	SEGAMAT	131.592000	67.884857	1740
1119730	JABI	MAY	NULL	NULL	85	28	SEGAMAT	140.121900	53.801856	9000
1119731	SUNGAI SEGAMAT	MAY	NULL	NULL	85	28	SEGAMAT	193.946500	68.582240	37980
1119732	JORAK	MAY	NULL	NULL	84	28	MUAR	247.896600	92.734865	12823
1119734	BUKIT KEPONG	MAY	NULL	NULL	84	28	MUAR	257.063000	77.937003	10171
1119735	POGOH	MAY	NULL	NULL	85	28	SEGAMAT	155.150700	70.419991	16233
1119736	SIMPANG KIRI	MAY	NULL	NULL	83	28	BATU PAHAT	114.741100	53.344424	20956
1119737	SRI MEDAN	MAY	NULL	NULL	83	28	BATU PAHAT	251.647800	74.470425	21687
1119738	LUIT	MAY	NULL	NULL	28	28	MARAN	565.795000	134.986974	17287
1119739	ULU LEPAR	MAY	NULL	NULL	26	28	KUANTAN	839.227700	156.778615	17028
1119740	PENYOR	MAY	NULL	NULL	26	28	PEKAN	735.819400	125.372407	27802
